ime,datum 
Carla Salome Rocha,25.04.1990
Leonid Andreev,06.10.1983
Thomas H Lilley,19.12.1887
Neeltje Jannetje Karelse,25.01.1926
David Luther Roberts,23.07.1951
Georges Andre,13.08.1889
Mike Stulce,14.07.1969
Jose Rios,15.03.1974
Lydia Cheromei,11.05.1977
Vitaliy Butrym,10.01.1991
Kaarlo Kalle Matilainen,28.09.1899
Tianna Madison,30.08.1985
Toyoko Nakamura,23.04.1920
Marina Tomic,30.04.1983
Anton Kosmac,14.12.1976
Bruno Galliker,29.12.1931
Emil Hirschfeld,31.07.1903
Tirunesh Dibaba,01.06.1985
Silvia Weissteiner,13.07.1979
Abdelkader Hachlaf,03.08.1978
Jong Hyong Li,03.01.1956
Lucien Rosa,11.02.1944
Juan Carlos De La Ossa,25.11.1976
Isel Lopez,11.07.1970
Felix Cappella,24.01.1930
Sue Hearnshaw,26.05.1961
Odd Maehlum,08.10.1921
Patrick Tambwe,05.05.1975
Marcelo Barrientos,09.05.1970
Liam Adams,04.09.1986
Colleen De Reuck 1,13.04.1964
Junjie Gu,05.05.1983
Jirina Voborilova Nemcova,15.04.1937
Natalya Lisovskaya,16.07.1962
Pierre Leclercq,
Kate Grace,24.10.1988
Dmitriy Safronov,09.10.1981
Andrzej Stalmach,01.05.1942
Yoshio Iimuro,18.01.1925
Olena Khlusovych,02.11.1966
Henry Harold Green,15.07.1886
Evan Jager,08.03.1989
Reinaldo Oliver,28.03.1932
Arvid Ohrling,01.02.1877
Witold Baran,29.07.1939
Arnost Nejedly,30.11.1882
Aristides Roubanis,30.11.1931
Kathrin Ullrich Wessel,14.08.1967
Milena Usenik,09.09.1934
Nadine Faustin,14.04.1976
Khalid Boulami,07.08.1969
Anna Rita Sidoti,25.07.1969
Viktor Kuznyetsov,17.07.1986
Henry Tim Kellaway,
Yuri Kutenko,08.06.1932
Barbara Petrahn,16.09.1978
Richard Rodriguez,10.12.1969
Ioan Muresanu,
Nastassia Yatsevich,18.01.1985
Yanling Xiao,27.03.1968
Oscar Garin,
Attilio Bravi,09.09.1936
Kyriakos Ioannou,26.07.1984
Amy Sene,06.04.1986
Byeongkwang Choe,07.04.1991
Jules F Migeot,04.11.1898
Natalya Roshchupkina,13.01.1978
Olga Yegorova,28.03.1972
Toea Wisil,01.01.1988
Luis Fonseca,03.06.1977
Thomas M Jones,18.11.1916
Giovanni Lanaro,27.09.1981
Sverre Hansen 1,12.11.1899
Panagiotis Peter Trivoulidas 1,
Dzmitry Platnitski,26.08.1988
Erwin Von Siegel,14.08.1884
Donald Lippincott,16.11.1893
Tolossa Kotu,25.12.1952
Jamale Aarrass,15.11.1981
Rudolf Falk,
Herman Groman,18.08.1882
Blanka Vlasic,08.11.1983
Aarne Kallberg,
Mesulame Rakuro,12.05.1932
Patrick Leahy,20.05.1877
Inna Gliznuta,18.04.1973
Bodo Tummler,08.12.1943
France Ntaole,08.08.1954
Jae Sung Yoo,20.02.1960
Richard Leslie Byrd,16.05.1892
Doris Muller Lorenz,25.02.1935
Zhen Xian Zou,10.11.1955
Kim Bukhantsov,25.11.1931
Hans Woellke,18.02.1911
Jonathan Williams,29.08.1983
Tina Carman,08.01.1978
Edgar Bruun,04.08.1905
Venuste Niyongabo,09.12.1973
Goran Bengtsson,25.11.1949
Anja Valant,08.09.1977
Derlys Ayala,07.01.1990
Martti Matilainen,18.09.1907
John Chester Paddick,31.08.1943
Marzia Caravelli,23.10.1981
Imre Mudin,
H Lillier,01.01.1894
Pablo Colin,29.06.1937
Niko Verekauta,16.02.1987
Yuliya Golubchikova,27.03.1983
Alexandros Papamihail,18.09.1988
Shalane Flanagan,08.07.1981
Habiba Ghribi,09.04.1984
Murray Halberg,07.07.1933
Asami Tanno,25.09.1985
Tsvetanka Khristova,14.03.1962
Constantino Kapambwe,21.07.1940
Jiri Vojtik,02.07.1981
Erik G Eriksson,12.06.1897
Karin Kiefer Smith,04.08.1955
Jon Brown,27.02.1971
Ambwene Simukonda,23.03.1984
Tamirat Tola,11.08.1991
Olli Pekka Karjalainen,07.03.1980
Leonid Barkovski,13.12.1940
Dragutin Tomaa Evic,17.01.1891
Werner Duttweiler,21.11.1939
Jeremy Bascom,15.10.1983
Gakologelwang Masheto,01.11.1984
Craig Barrett,16.11.1971
David Colin Bedford,30.12.1949
Desmond Mcgann,21.07.1945
Aleksandr Potashev,12.03.1962
Helmut Kunisch,26.11.1936
Ramil Guliyev,29.05.1990
Hilmar Hossfeld,18.01.1954
Dzianis Simanovich,20.04.1987
Marija Vrajic,23.09.1976
Obinna Metu,12.07.1988
Habitam Alemu,09.07.1997
Maria Polyzou,10.11.1968
Franz Barsicke,15.05.1905
Indira Terrero,29.11.1985
Tahmina Kohistani,18.06.1989
Renata Nielsen,18.05.1966
Roman Mrazek,21.01.1962
Oleksandr Sitkovskyy,09.06.1978
August Wolf,03.09.1961
Delfim Moreira,11.12.1955
Ine Schaffer,28.03.1923
Patrick Onyango,30.11.1944
Nicoleta Grasu,11.09.1971
Martin Mondragon,11.11.1953
Olav Sunde,17.08.1903
Wariboko West,19.08.1942
Zoltan Kaldy,07.01.1969
Kim Batten,29.03.1969
Igor Astapkovich,04.01.1963
Rosalyn Evette Bryant,07.01.1956
Thomas John Henry Richards,15.03.1910
Meredith Colkett,19.11.1878
Telesphore Dusabe,15.05.1965
Snezana Dancetovic,04.12.1957
Daniel Bautista Rocha,04.08.1952
Pierre Camara,10.09.1965
Kjell Georg Lund,13.01.1944
Pedro Mora,20.09.1977
Tuihaleni Frank Kayele,12.02.1964
Michele Fanelli,14.09.1907
Dmitriy Bogdanov,11.04.1979
Silvia Paredes,23.01.1983
Annika Suthe,15.10.1985
Stanislav Sajdok,22.07.1983
Wilson Theleso,25.06.1960
Roberto Cabrejas,28.12.1952
Satomi Kubokura,27.04.1982
Bedane Lengissa,08.09.1945
Patricia Callender,
Paul Arpin,20.02.1960
Dmitrijs Jurkevics,07.01.1987
Matheus Marcondes,
Gordon Pirie,10.02.1931
Christophe Lemaitre,11.06.1990
Petra Teveli,01.11.1979
Eduard Mikhan,07.06.1989
Francisco Javier Fernandez,06.03.1977
Johnson Mbangiwa,28.02.1956
Andy Baddeley,20.06.1982
Wyomia Tyus,29.08.1945
Marian Foik,06.10.1933
Kirsten Nieuwendam,26.08.1991
Dmitri Kovtsoun,29.09.1955
John Holloway,
Jurgen Busch,24.12.1942
Michael John Denley,21.11.1931
Thorulf Helland,10.12.1936
Chester Bowman,22.11.1901
Eero Allan Tuomaala,12.10.1926
Peter Tichy,12.03.1969
Sanni Utriainen,05.02.1991
Peter Burge,03.07.1974
Olesea Cojuhari,29.03.1990
Alfred Maasik,26.01.1897
Sandra Torres,21.12.1974
Wallace Spearmon,24.12.1984
Martina Pretelli,28.12.1988
Jennifer Wenth,24.07.1991
Olga Bolshova,16.06.1968
George Woods,11.02.1943
Cornelius Leahy,27.04.1876
Noengrothai Chaipetch,01.12.1982
Malcolm Nokes,20.05.1897
Georges Touquet Daunis,
Juan Carlos Higuero,03.08.1978
Boonthung Srisung,30.05.1981
Kelly Holmes,19.04.1970
Suhrob Khodjaev,21.05.1993
Andreea Ograzeanu,24.03.1990
Kenneth Hlasa,02.03.1955
Kleberson Davide,20.07.1985
Ryan Brathwaite,06.06.1988
Godfrey Brown,21.02.1915
Benjamin Thorne,19.03.1993
Susanna Kallur,16.02.1981
Bo Sven Jonsson,
Tomasz Lipiec,10.05.1971
Arismendy Peguero,02.08.1980
Gilbert Ronald Larrieu,29.05.1937
Rabah Aboud,01.01.1981
Walter Schmidt,07.08.1948
Siarhei Kalamoyets,11.08.1989
Gerda Kupferschmied,19.08.1942
Il Nam Kim,15.03.1980
Eusebio Caceres,10.09.1991
Amantle Montsho,04.07.1983
Derek Redmond,03.09.1965
Nataliia Pryshchepa,11.09.1994
Ulf Timmermann,01.11.1962
Nick Buckfield,05.06.1973
Henri Teyssedou,
Lia Manoliu,25.04.1932
Povilas Mykolaitis,23.02.1983
Mekonnen Gebremedhin Wolegiorgis,11.10.1988
Eino Pentti,18.10.1906
Boniface Merande,06.02.1962
Yuta Shitara,18.12.1991
Epiphanie Nyirabarame,15.12.1981
Limei Xie,27.06.1986
Yoel Hernandez,12.12.1977
Ashraf Amgad Elseify,20.02.1995
Masako Shimpo,30.11.1912
Georg Hogstrom,
Leonel Suarez,01.09.1987
Rafer Johnson,18.08.1934
Gabriele Reinsch,23.09.1963
Moussa Aouanouk,02.08.1972
Thomas Hicks,07.01.1875
Benjamin Kucinski,01.06.1982
Peter Radford,20.09.1939
Harry Liversedge,21.09.1894
Leah Nugent,23.11.1992
Nestor Garcia 1,06.07.1975
Arlie Max Mucks,10.12.1891
Josef Silhavy,07.12.1946
Trond Nymark,28.12.1976
Claire Hallissey,17.03.1983
Peter Sternad,08.02.1946
Johanna Elisabeth Teunissen Waalboer,25.05.1919
James Mcnamara,17.04.1939
Sheena Tosta,01.10.1982
Ivar Ramstad,03.02.1924
Florence Picaut,25.10.1952
Frank Wartenberg,29.05.1955
Esther Wanjiru,27.03.1977
Muktar Edris 1,14.01.1994
Lyudmila Radchenko,01.10.1932
Vitezslav Vesely,27.02.1983
Pal Arne Fagernes,08.06.1974
Joseph Van Der Wee,14.12.1902
Angie Orjuela,09.05.1989
Nigel Levine,30.04.1989
Andrew Lemoncello,12.10.1982
Boughera El Ouafi,15.10.1899
Mario Ivan Flores,28.02.1979
Zaw Win Thet,01.03.1991
Ann Britt Leyman,10.06.1922
Roman Avramenko,23.03.1988
Delfo Cabrera,02.04.1919
Wallace Williams,23.10.1946
Lawrence Peckham,04.12.1944
Ernst Gerspach,24.04.1897
Boubker Elafoui,01.01.1969
Ahmed Jumaa Jaber,29.12.1983
Jean Victor Edmond Maissant,23.01.1926
Erik Kynard,03.02.1991
Kamil Krynski,12.05.1987
Pavelas Fedorenko,05.10.1964
Kim Turner,21.03.1961
Rudolf Bauer,02.01.1879
Nicole Teter,08.11.1973
Bjorn Bruch,02.07.1946
Mohamed Mohamed 1,23.08.1993
Fritz Pollard,18.02.1915
Robert Stefko,28.05.1968
Reiko Tosa,11.06.1976
Nenad Stekic,07.03.1951
Albert Delannoy,30.11.1880
Heinz Schumann,06.08.1936
John Herbert,20.04.1962
Suguru Osako,23.05.1991
Vladimir Bukhanov,01.10.1960
Dana Aydosova,05.09.1995
William Kenneth Carpenter,19.04.1913
Ana Guevara,04.03.1977
Curtis Robb,07.06.1972
Madara Palameika,18.06.1987
Nadezhda Khnykina,24.06.1933
Ilya Tiapkin,02.08.1991
Zakia Mrisho,19.02.1984
Oleksii Lukashevych,11.01.1977
Garifa Kuku,30.11.1959
Kene Ndoye,20.11.1978
Johnny Gray,19.06.1960
Sim Iness,09.07.1930
Mehmet Terzi,05.05.1955
Salah Majid,30.11.1931
Natallia Dobrynska,29.05.1982
Erich Borchmeyer,23.01.1905
Adonia Steryiou,07.07.1985
Ian Waltz,15.04.1977
Vaso Komnenic,15.05.1955
Daniel Jacobus Joubert,08.02.1909
Ogho Oghene Egwero,26.11.1988
Tatsuo Toki,30.11.1903
Tatyana Petrova Arkhipova,08.04.1983
Pertti Tiainen,15.11.1954
Serap Aktas,25.09.1971
Rui Ramos,09.07.1930
Abdellatif Meftah,03.01.1982
Maria Guadalupe Gonzalez,09.01.1989
Eldon Jenne,
Nataliia Lupu,04.11.1987
Gail Devers,19.11.1966
Jules Noel,27.01.1903
Eirini Chrysovalantou Terzoglou,02.02.1979
Antonio Prieto Velasco,11.01.1958
David L Maggard,12.01.1940
Bjambajav Enhkbaatar,18.12.1950
Fethi Baccouche,16.11.1960
Ludwig Warnemunde,10.10.1916
Armin Hary,22.03.1937
Karin Illgen,07.04.1941
Leonid Voloshin 1,30.03.1966
Beatriz Ros,12.05.1974
W O Mara,
Melanie Kraus,24.10.1974
Nick Rose,30.12.1951
Tereza Capkova,24.07.1987
Seiichiro Tsuda,26.07.1906
Gladys Ng Mei Chai,22.02.1953
Manuel Martinez 1,07.12.1974
Wassana Winatho,30.06.1980
Janos Kelen,11.02.1911
Eileen Hiscock,25.08.1909
Quyen Nguyen,19.03.1952
Mahiedine Mekhissi,15.03.1985
Milangela Rosales,21.02.1987
Edmund Jaworski,
Paul Hammer,30.11.1895
Deirdre Ryan,01.06.1982
Gunter Spielvogel,27.04.1944
Erling Winne,07.08.1892
Wen Chien Wu,09.06.1977
Pramila Ganapathy Gudanda,08.03.1977
Jan Takac,02.02.1909
Julian Flugel,18.04.1986
Sarka Kasparkova,20.05.1971
Fred Schumann,09.08.1959
Borja Vivas,26.05.1984
Leonid Litvinenko,28.01.1949
Guzel Khubbieva 1,02.05.1976
Shinji Takahira,18.07.1984
Vladimir Kiselev,01.01.1957
Jessica Augusto,08.11.1981
Moses Mosop,17.07.1985
Tatyana Gordeyeva,03.06.1973
Jakab Kauser,22.03.1878
Dmitri Bondarenko,09.08.1936
Mike Trautmann,13.03.1974
Silvia Panguana,16.02.1993
Maurice Smith,28.09.1980
Nathaniel Alden Sherman,07.02.1888
Tokushige Noto,21.01.1902
Andre De Hertoghe,19.07.1941
Frank C Saunders,01.01.1899
Josef Gwerder,12.01.1939
Leodigard Martin,08.01.1960
Thomas Ayeko,10.02.1992
Anne Smith,31.08.1941
Eusebio C Guinez,30.11.1906
Maritza Poncio,03.12.1994
Adalberto Scorza,02.03.1938
Jose Regalo,22.11.1963
Rein Aun,05.10.1940
Jemima Jelagat Sumgong,21.12.1984
Percival Wyer,23.01.1884
Douglas Lowe,07.08.1902
Hayley Tullett,17.02.1973
Konstantinos Koukodimos,14.09.1969
Lijiao Gong,24.01.1989
Agnese Pastare,27.10.1988
Rod Milburn,18.05.1950
Emily Freeman,24.11.1980
John Adelbert Kelley,06.09.1907
Simon Poelman,27.05.1963
Wayne Yetman,08.10.1946
Agnieszka Szwarnog,28.12.1986
Allison George,03.01.1988
Iryna Novozhylova,07.01.1986
Baruch Feinberg,06.08.1933
William Collazo,31.08.1986
Xiang Liu,13.07.1983
Fred Engelhardt,14.05.1879
Albert Smoke,
Maria Ferreira,13.03.1962
Zuzana Schindlerova,25.04.1987
Yevhen Vynohradov,30.04.1984
Ingvill Makestad Bovim,07.08.1981
Paul Davies Hale,21.06.1960
Yuriy Naumkin,05.11.1968
Elena Slesarenko,28.02.1982
Grith Ejstrup Nielsen,05.07.1953
Heike Henkel,05.05.1964
Aleksandr Anufriyev,01.06.1926
Dorian Collaku,02.06.1977
C E Stevens,
Godtfred Holmvang,07.10.1917
Zhenzhu Li,13.12.1985
Evert Nyberg,28.02.1925
Mike Hazle,22.03.1979
Ruth Beitia,01.04.1979
Birgit Dressel,04.05.1960
David Oliver,24.04.1982
Frederick Allen Luke,12.11.1946
Andrew Jachno,13.04.1962
Kurt Couto,14.05.1985
Rod Dehaven,21.09.1966
Dan O Brien,18.07.1966
Rene Mourlon,12.05.1893
Brian Pintado,29.07.1995
Sabine Zimmer,06.02.1981
Richard Ringer,27.02.1989
Yongjian Yang,01.04.1973
Sven Thuresson,
Lisa Uhl,31.08.1987
Gaston Roelants,05.02.1937
Carlo Mattioli,23.10.1954
Kenneth Cheruiyot,08.02.1974
Jose Pinto,19.06.1956
Patrick Abada,20.03.1954
Roman Novotny,05.01.1986
Marcianne Mukamurenzi,11.11.1959
Snezana Hrepevnik,13.11.1948
Marie Dollinger,28.10.1910
John Foster 3,23.05.1932
Kim Christensen,01.04.1984
Lyukman Adams,24.09.1988
Dieter Hoffmann 1,
Fuxin Zhang,01.09.1961
Lily Carlstedt,05.03.1926
Stephan Steding,29.01.1982
Rafal Augustyn,14.05.1984
Denia Caballero,13.01.1990
Damar Forbes 1,11.09.1990
Julius Sumaye,12.09.1964
Pentti Kuukasjarvi,28.11.1946
Mohamed Farah,23.03.1983
Anita Weiss,16.07.1955
Olive Loughnane,14.01.1976
Marilyn White,17.10.1944
Darya Maslova,06.05.1995
Fatuma Roba,18.12.1973
Tim Graham,31.05.1939
Eckhard Lesse,01.12.1948
Tineke Hidding,28.07.1959
Henry Lindblad,25.02.1906
Natalya Grigoryeva,03.12.1962
Tugba Karakaya,16.02.1991
Yukka Piironen,11.08.1925
Victor Moya,24.10.1982
George Piper,
Jarl Gustav Anian Jakobsson,11.05.1880
Sergei Kulibaba,27.07.1959
Abraham Chebii,23.12.1979
Griselda Gonzalez,04.12.1965
Ryan Whiting,24.11.1986
Olga Shishigina,23.12.1968
Tasama Moogas,02.02.1988
Per Arne Berglund,20.01.1927
Gabriela Wolf,28.10.1960
Angel Diaz Granillo,29.10.1961
Belal Mansoor Ali,17.10.1988
Alysbeth Felix,07.03.1993
Herve D Encausse,27.09.1945
Robert Sainte Rose,05.07.1943
Frank Rutherford,23.11.1964
Daniel Vargas,06.03.1984
Robert Adams 1,20.12.1924
Tran Van Ly,20.02.1927
Jose Carlos Hernandez,17.03.1978
Minwei Zhong,09.04.1987
William Charles Keith,26.11.1925
Anna Villani,21.06.1966
John Woods,08.12.1955
Harold William Manning,09.01.1909
Frank Busemann,26.02.1975
Marian Woronin,13.08.1956
Nikolett Szabo,03.03.1980
Peter Blank,10.04.1962
Anatoli Yarosh,25.10.1952
George Golding,06.05.1906
Isabel Checa,27.12.1982
Noraida Bicet,29.10.1977
Halil Akkas,01.07.1983
Geisa Aparecida Coutinho,01.06.1980
Mikel Odriozola,25.05.1973
Seppo Raty,27.04.1962
Alberto Chaica,17.09.1973
Bertha Brouwer,29.10.1930
Edina Fusti,24.06.1982
Giuseppe De Gaetano,04.10.1966
Otto Grigalka,28.06.1925
Alex Malinga,27.07.1974
Andriana Banova,01.05.1987
James Henigan,25.04.1892
Charlie Greene,21.03.1945
Hannes Johannes Torpo,21.01.1901
Karl Axel Kullerstrand,01.03.1892
Tomoaki Kunichika,22.04.1973
Angiolo Profeti,23.05.1918
Reid Coolsaet,29.07.1979
Donald Velez,18.01.1948
Alexandra Fisher,03.06.1988
Huandi Zhong,28.06.1967
Benjamin Sanchez,10.03.1985
Lennart Atterwall,26.03.1911
Kerryn Anne Mccann,02.05.1967
Godfrey Khotso Mokoena,06.03.1985
John Percy Hagerman,25.10.1881
Armando Aldegalega,23.11.1937
Georgios Papasideris,
Baldev Singh,
Alfred Gaschen,
Galina Filatova,18.02.1949
Abdul Buhari,26.06.1982
Claudio Caban,25.03.1963
Azat Rakipov,29.11.1968
Florence Colle,04.12.1965
Emerson Hernandez,20.01.1989
Ivan Babaryka,11.11.1982
Helen Stephens,03.02.1918
Marita Payne,07.10.1960
William Nieder,10.08.1933
Johan Meimer,19.06.1904
Burghild Wieczorek,04.05.1953
Franco Fava,03.09.1952
George Mambosasa,31.01.1964
Fikru Deguefu,28.02.1937
Arasay Thondike,28.05.1986
Steve Seymour,04.10.1920
Glynis Nunn,04.12.1960
Nils Linde,18.07.1890
Sven Malm,25.02.1894
Bruce Deacon,05.12.1966
Yenima Arencibia,25.12.1984
Delisa Ann Walton Floyd,28.07.1961
Gyula Borka,03.06.1959
Richard Thompson 1,07.06.1985
Frank Hughes,
Richard Francis Ault,10.12.1925
Emmerich Rath,05.11.1883
Luis Maria Garriga Ortiz,14.06.1945
Dieter Hoffmann,27.08.1941
Raquel Gonzalez,16.11.1989
Enrique R Thompson,01.01.1898
Takayuki Tanii,14.02.1983
Donald Arthur Tunbridge,28.10.1920
Noel Matouba,
Marc Agosta,07.05.1948
Michael D Dineen,
Monica Stoian,25.08.1982
Yuri Prokhorenko,09.03.1951
William Hord Richardson,25.12.1903
Yvonne Buschbaum,14.07.1980
Caterine Ibarguen,12.02.1984
Hugo Barth,20.11.1903
Ervin Hall,02.07.1947
Charles Hoff,09.05.1902
Astrid Retzke,13.07.1973
Olapade Adeniken,19.08.1969
Sylvio Cator,09.10.1900
Gertrud Schafer,26.10.1944
Mareks Arents,06.08.1986
Helena Cardozo De Menezes,22.01.1927
Leslie Mcpherson 1,
Daviti Kharazishvili,24.04.1992
Hannes De Boer,02.12.1899
Joanne Dow,19.03.1964
Mercy Cherono,07.05.1991
Elizabeth Wilde Kinnard,18.10.1913
Jaime Enrique Ojeda Paredes,03.08.1963
Keisuke Ushiro,24.07.1986
Tatiele Roberta De Carvalho,22.11.1989
Joseph Mutua 1,10.12.1978
Thomas Kennedy,
Harumi Hiroyama,02.09.1968
Katarina Beresova,10.10.1987
Mario Recordon Burnier,14.07.1922
Kelsie Hendry,29.06.1982
Michael Mc Farlane,02.05.1960
Ksenija Balta,01.11.1986
Scott Westcott,25.09.1975
Aleksei Pershin,20.02.1962
Paul Hanni 1,03.10.1914
Craig Pickering,16.10.1986
Ricky Soos,28.06.1983
Katsuo Nishida,24.01.1929
Dominic Kirui,12.04.1967
Walter A Fedorick,
Manfred Letzerich,15.08.1942
Melina Robert Michon,18.07.1979
Sandra Zapata,03.02.1977
Eider Arevalo,09.03.1993
Edwin Klein,19.06.1948
Matteo Villani,28.08.1982
Milos Maca,23.01.1927
Earl A Fuller,06.03.1904
Eliud Kipchoge Rotich,05.11.1984
Frank Lukeman,30.11.1886
Ato Boldon,30.12.1973
Eskil Falk,
Meeri Anna Liisa Saari,16.09.1925
William Charles Forsyth,20.01.1891
Michael Schrader,01.07.1987
Antonio Pettigrew,03.11.1967
Artur Mastianica,30.07.1992
Grit Breuer,16.02.1972
Gulfiya Khanafeyeva,04.06.1982
Franklin Wesley Held,25.10.1927
Sachiko Yamashita,20.08.1964
Reinhard Kuretzky,01.12.1947
Heikki Liimatainen,14.03.1894
Carolin Tamara Hingst,18.09.1980
Ivar Axel Gustaf Lundberg,11.11.1878
Heike Meissner,29.01.1970
Linda Somers,07.05.1961
Patricia Sylvester,03.02.1983
Olha Iakovenko,01.06.1987
Olha Kotovska,05.12.1983
Tereje Wodajo,27.01.1982
Rushwal Samaai,25.09.1991
Hakim Sadi,14.11.1992
Marie Christine Deurbroeck,01.02.1957
Michel Jazy,13.06.1936
Eiki Takahashi,19.11.1992
Mayra Herrera,20.12.1988
Jamie Costin,01.06.1977
Sonata Tamosaityte,28.06.1987
Anna Incerti,19.01.1980
Margit Klinger,22.06.1960
Lucy Van Dalen,18.11.1988
Kipkoech Cheruiyot,02.12.1964
Gloria Hooper,03.03.1992
Mark Boswell,28.09.1977
Patricia Walsh,16.03.1960
Duncan Clark,22.06.1915
Idrissa Adam,28.12.1984
Benjamin Bangs Eastman,09.07.1911
Pal Sverre Benum,03.08.1935
Mubarak Hassan Shami,01.12.1980
Dennis Freeman,
Alessandro Andrei,03.01.1959
Bob Hayes,20.12.1942
F Nishinchi,
A Thibeau,
Volker Beck,30.06.1956
Jason Young 1,27.05.1981
Ralf Sonn,17.01.1967
Yu Fang Hsu,02.02.1974
Graeme Vincent Fell,19.03.1959
Harry Holmqvist,26.08.1907
Luis Alberto Orta,15.01.1989
Vera Kolashnikova Krepkina,15.04.1933
Harry Butch Reynolds,08.06.1964
Vaino Jeremias Sipila,24.12.1897
Todd Williams,07.03.1969
Jean Pierre Mvuyekure,28.07.1984
Ellery Clark,13.03.1874
Hans Van Alphen,12.01.1982
Nixon Kiplimo Chepseba,12.12.1990
Iammogapi Launa,16.09.1957
William De Hart Hubbard,25.11.1903
Om Prakash Singh,11.01.1987
Yuki Ebihara,28.10.1985
Kumbanza Situ,21.10.1955
Eduard Hamalainen,21.01.1969
Josef Siegers,15.10.1907
Berhane Adere,21.07.1973
Sandor Urbanik,15.12.1964
Gyong Ae Mun,08.04.1969
Sofia Assefa,14.11.1987
Rose Chelimo,12.07.1989
Joshua Owusu,02.10.1948
Joseph Guillemot,01.10.1899
Zigismunds Sirmais,06.05.1992
Volmari Iso Hollo,01.05.1907
Constantin Dumitru,26.06.1925
Abdihakim M Abdirahman,01.01.1977
Tommy Lazarus,15.10.1962
Serban Ioan,02.05.1948
Mariana Dias Ximenes,13.12.1983
Carlette Guidry White,04.09.1968
Nirinaharifidy Ramilijaona,26.11.1982
Thabiso Moqhali,07.12.1967
Mraljeb A Yed Mansoor,30.11.1938
Emil Joseph Muller,19.02.1891
Alberto Juzdado,20.08.1966
Livio Berruti,19.05.1939
Paola Perez,21.12.1989
Jaroslav Brabec,27.07.1949
Karin Ruger Schulze,01.04.1944
Rose Mary Almanza,13.07.1992
Kristjan Rahnu,29.08.1979
Duncan Mcphee,
Natalia Andre Marasescu,03.10.1952
Jean Aniset,15.09.1934
Tommy Ekblom,20.09.1959
Francisco Vargas,12.11.1967
Philip Baker,01.11.1889
Charlotte Elisabeth Haidegger,15.06.1925
Larisa Peleshenko,29.02.1964
Eino Purje,02.02.1900
Adam Kszczot,02.09.1989
Ramilya Burangulova,11.07.1961
Selim Nurudeen,01.02.1983
Tatyana Kotova,11.12.1976
Gordon Bennett Dukes,23.12.1888
Jose Manuel Martinez,22.10.1971
Robert Heffernan,28.02.1978
Jeffrey Teale,20.12.1939
Raymond Lesage,27.06.1917
Michael Ryan 3,30.11.1888
Lutvian Mollova,18.12.1947
Ines Reichenbach Muller,02.01.1959
Sofia Ennaoui,30.08.1995
Volodymyr Mykhaylenko,27.08.1973
Maryam Yusuf Jamal,16.09.1984
Allen Woodring,15.02.1898
Lerma Elmira Bulauitan,17.10.1974
Mariano Haro Cisneros,27.05.1940
Fiona May 1,12.12.1969
Hannu Juhani Siitonen,18.03.1949
Buoban Pamang,27.12.1983
Ritva Lemettinen,09.09.1960
Alessandro Pezzatini,25.08.1957
Ellen Van Langen,09.02.1966
Virginia Mikailova Angelova,01.01.1932
Tage Jonsson,10.06.1920
Nikki Hamblin,20.05.1988
Abeba Aregawi,05.07.1990
Sandra Perkovic,21.06.1990
Asdis Hjalmsdottir,28.10.1985
Ivo Van Damme,21.02.1954
Curt Soderberg,19.01.1927
Domenico Carpentieri,23.02.1946
Jocelyne Villeton,17.09.1954
Tatyana Lysenko,09.10.1983
Lawrence Roberts,01.07.1903
Zithulele Sinqe,09.06.1963
Ivan Slamar,11.01.1961
Paul Meier,27.07.1971
Vasili Arkhipenko,28.01.1957
Yordanka Peeva,23.04.1953
Jearl Miles Clark,04.09.1966
Nikolai Abramov,10.12.1933
Kendell Williams,14.06.1995
Harold Osborn,13.04.1899
Vlasta Peskova,11.04.1938
Yipsi Moreno,19.11.1980
Riccardo Materazzi,15.06.1963
John Zander,31.01.1890
Alexandros Papadimitriou,18.06.1973
Airine Palsyte,13.07.1992
Einar Nilsson,08.06.1891
Ronald Bennett,11.10.1984
Gunnar Johnsson,03.07.1889
Vincent John O Sullivan,23.02.1957
Athanasia Perra,02.02.1983
Joel Redhead,03.07.1986
Stephen Saenz,23.08.1990
Andrey Ignatov,03.02.1968
Maura Viceconte,03.10.1967
Amewu Mensah,21.03.1977
Philaylack Sackpraseuth,30.04.1987
Chengliang Zhao,01.06.1984
Seiichi Ueda,01.03.1899
Roy Braxton Cochran,06.01.1919
Martin Bermudez,19.07.1958
Manfred Naumann,21.06.1933
Nijole Sabaite,12.08.1950
Maria Czakova,02.10.1988
Antonios Kounadis,20.04.1937
Tatyana Gudkova,23.01.1978
Karl Friedrich Haas,28.07.1931
Fortune Gordien,09.09.1922
Charles Chadwick,19.11.1874
Agnes Samaria,11.08.1972
Devilert Arsene Kimbembe,14.09.1984
Usha Rivavulakandi,20.05.1964
Joseph Taiwo,24.08.1959
Clifford Bricker,
Misleydis Gonzalez,19.06.1978
Agnese Maffeis,09.03.1965
Anca Margareta Heltne,01.01.1978
David Ilariani,20.01.1981
Judith Florence Amoore Pollock,25.06.1940
Josef Dolezal,12.12.1920
Etenesh Diro,10.05.1991
Mara Ibanez Lopez,17.12.1974
Phobay Kutu Akoi,03.12.1987
Charlemagne Anyamah,23.01.1938
John B Tuttle,16.11.1958
Septimus Francom,
Klodiana Shala,22.08.1979
Simeon Williamson,16.01.1986
Tatyana Talysheva,15.10.1937
Edward Barton Hamm,13.04.1906
